iter	Logloss
0	0.5139764404
1	0.3909137573
2	0.3010404663
3	0.2280177002
4	0.1702836609
5	0.1416559143
6	0.1185267639
7	0.1026690521
8	0.08428151703
9	0.07426243591
10	0.06929356384
11	0.06360458374
12	0.05950909042
13	0.05393562698
14	0.05021305466
15	0.04839135361
16	0.04588628387
17	0.0443399353
18	0.04316546249
19	0.04143644714
20	0.04048670578
21	0.03924102783
22	0.03850688934
23	0.0378789978
24	0.03712545776
25	0.0365342598
26	0.03521215057
27	0.03484510422
28	0.03440439224
29	0.03388944244
30	0.03327725983
31	0.03283098602
32	0.03196984291
33	0.03148542023
34	0.0310279007
35	0.03078896904
36	0.03052504349
37	0.03013381386
38	0.02991411591
39	0.02975158882
40	0.02952673912
41	0.0292647438
42	0.02911219406
43	0.02886259842
44	0.0283709507
45	0.02814560318
46	0.0277882576
47	0.0275633812
48	0.02708543015
49	0.02697355652
50	0.02664396477
51	0.02645959282
52	0.02630064774
53	0.02619231415
54	0.02604073906
55	0.02575118256
56	0.0255314827
57	0.02521071625
58	0.02505543327
59	0.02487587357
60	0.0247363205
61	0.02442078781
62	0.02419572067
63	0.02413556862
64	0.02402762604
65	0.02379343414
66	0.02338944054
67	0.0231999855
68	0.02288029671
69	0.02270159721
70	0.02262347031
71	0.02239048386
72	0.02227930641
73	0.02217045593
74	0.02186644936
75	0.02165483475
76	0.02150914383
77	0.02139654732
78	0.02127984619
79	0.02118306351
80	0.02105351257
81	0.02096905708
82	0.02074673462
83	0.02059711266
84	0.02051032257
85	0.02035952568
86	0.02016886139
87	0.02004989815
88	0.01998817444
89	0.01990781593
90	0.01971316338
91	0.01966030884
92	0.01951966858
93	0.01941739655
94	0.01924564743
95	0.01915963173
96	0.019081707
97	0.01878553963
98	0.0186626339
99	0.01852072525
100	0.01839646149
101	0.01831641006
102	0.01823192215
103	0.01806981087
104	0.01801436996
105	0.01794499016
106	0.01783263779
107	0.01776984787
108	0.01764071465
109	0.01751734734
110	0.0174061718
111	0.01734474564
112	0.01714325333
113	0.01712893295
114	0.01704409409
115	0.01698870468
116	0.01690429687
117	0.01677799225
118	0.01672955322
119	0.01665892601
120	0.01650014305
121	0.01641524315
122	0.01636872482
123	0.01624489594
124	0.01617497635
125	0.01604783249
126	0.01589369678
127	0.01574094677
128	0.01568036366
129	0.01563624001
130	0.01544801903
131	0.01540838432
132	0.01534602356
133	0.01530309486
134	0.01519836617
135	0.01512840366
136	0.01504589653
137	0.01494631958
138	0.01490902901
139	0.01484507465
140	0.01480570889
141	0.01469804192
142	0.01466498566
143	0.01461719036
144	0.0145305872
145	0.01450086594
146	0.01445585251
147	0.01440174961
148	0.01428770065
149	0.01426112938
150	0.0142206192
151	0.01419371414
152	0.01416347313
153	0.01413825035
154	0.01405109596
155	0.0139955349
156	0.01389133263
157	0.01386107635
158	0.01378461742
159	0.01375754642
160	0.01370852566
161	0.01361645889
162	0.01359125614
163	0.01350635624
164	0.01348679352
165	0.01342554665
166	0.01334818172
167	0.01328022671
168	0.01323728275
169	0.01315393639
170	0.0131043129
171	0.01303453732
172	0.01301047325
173	0.01287429523
174	0.01283728409
175	0.01271323013
176	0.01268408203
177	0.01259485054
178	0.01249065971
179	0.01244420242
180	0.01239176178
181	0.01235127544
182	0.012314188
183	0.01226059437
184	0.01219894028
185	0.01218316174
186	0.01209179306
187	0.01205002213
188	0.01193499947
189	0.01189462852
190	0.01187927914
191	0.01180405331
192	0.01171896553
193	0.01161330795
194	0.01150927162
195	0.01143745327
196	0.01141255379
197	0.01137847328
198	0.01136572266
199	0.01133288574
200	0.01121758652
201	0.01116797066
202	0.01109166145
203	0.01097422028
204	0.01096438694
205	0.01088636589
206	0.01084670639
207	0.01081616116
208	0.01076065636
209	0.01074444866
210	0.01073022175
211	0.01069235611
212	0.01058509731
213	0.01056811333
214	0.01055555534
215	0.01050467396
216	0.0104560833
217	0.0104234581
218	0.01036665058
219	0.01031427193
220	0.01027004814
221	0.01023833847
222	0.01020687485
223	0.01019421387
224	0.01014822388
225	0.01011114311
226	0.01005132866
227	0.01003762245
228	0.0100006752
229	0.00997435379
230	0.009931761742
231	0.009873340607
232	0.00984484005
233	0.009835205078
234	0.009763785362
235	0.00973913765
236	0.009667825699
237	0.009656326294
238	0.009622423172
239	0.009566305161
240	0.009511695862
241	0.009480484009
242	0.009390851974
243	0.009375840187
244	0.009330564499
245	0.009311569214
246	0.009248589516
247	0.009220927238
248	0.009136024475
249	0.009087997437
250	0.009046823502
251	0.008998165131
252	0.008971229553
253	0.008950052261
254	0.008926034927
255	0.008889846802
256	0.008809548378
257	0.008766610146
258	0.008723026276
259	0.008695804596
260	0.008652240753
261	0.008622368813
262	0.008558121681
263	0.008546103477
264	0.008524438858
265	0.008515721321
266	0.008437702179
267	0.008422578812
268	0.008414684296
269	0.008412652016
270	0.008389922142
271	0.008355674744
272	0.008311811447
273	0.008286186218
274	0.008229895592
275	0.008211453438
276	0.008194107056
277	0.008148208618
278	0.008124983788
279	0.008064323425
280	0.008055746078
281	0.008010414124
282	0.007989480495
283	0.007969855309
284	0.007926038742
285	0.007918439865
286	0.007848948956
287	0.007831298828
288	0.007823801041
289	0.007773856163
290	0.00776898098
291	0.007756271362
292	0.007737538338
293	0.007706840992
294	0.007700439453
295	0.007681442738
296	0.00766154623
297	0.007652514935
298	0.007610487938
299	0.007604626179
