auc_roc,best_f1,best_threshold,best_precision,best_recall,model,seed,train_time,params
0.521948163808629,0.16170212765957448,0.022944112806910232,0.10555555555555556,0.34545454545454546,TCR-AD,42,69.36,412067
0.4585310469031399,0.12719891745602166,-12.14913179775579,0.07472178060413355,0.42727272727272725,OCSVM,42,2.66,0
0.5226607156839715,0.15841584158415842,0.44954953361750377,0.09380234505862646,0.509090909090909,IForest,42,0.17,0
0.5240466682327147,0.15966386554621848,0.018094510855999862,0.10382513661202186,0.34545454545454546,AE,42,16.62,148416
0.4608566282984887,0.13802435723951287,0.04074607909929873,0.08108108108108109,0.4636363636363636,VAE,42,15.15,156672
0.5243990290501919,0.16170212765957448,0.018291636661748704,0.10555555555555556,0.34545454545454546,DAGMM,42,13.31,149119
0.47311878474669167,0.1340941512125535,0.015265252365909442,0.07952622673434856,0.42727272727272725,TCR-AD,123,50.18,412067
0.541942682640357,0.16716417910447762,-4.442360921653717,0.12444444444444444,0.2545454545454545,OCSVM,123,2.34,0
0.5511079790149557,0.16977225672877846,0.47602028093223187,0.10991957104557641,0.37272727272727274,IForest,123,0.15,0
0.4558844256518675,0.1220472440944882,0.015983127734877856,0.07788944723618091,0.2818181818181818,AE,123,12.98,148416
0.49022785999530183,0.16,0.04434709292319086,0.09557522123893805,0.4909090909090909,VAE,123,12.88,156672
0.45553989507477877,0.12144212523719165,0.015276811226750866,0.07673860911270983,0.2909090909090909,DAGMM,123,15.02,149119
0.4806788818416725,0.13055555555555556,0.013665528507018933,0.07704918032786885,0.42727272727272725,TCR-AD,456,48.01,412067
0.5417273510296766,0.174573055028463,-9.631053746109652,0.11031175059952038,0.41818181818181815,OCSVM,456,2.37,0
0.49668780831571524,0.14465408805031446,0.45955523217356337,0.08745247148288973,0.41818181818181815,IForest,456,0.15,0
0.48238587424633933,0.1322314049586777,0.008488743368423346,0.07792207792207792,0.43636363636363634,AE,456,13.01,148416
0.48129355571216037,0.15198618307426598,0.04942673418407489,0.09381663113006397,0.4,VAE,456,12.73,156672
0.4847740975647953,0.13176470588235295,0.021291098002382002,0.08888888888888889,0.2545454545454545,DAGMM,456,14.87,149119
0.5031046903139926,0.15185185185185185,0.019305745309049435,0.09534883720930233,0.37272727272727274,TCR-AD,789,47.88,412067
0.5393626184323859,0.18181818181818182,-3.3754511919524117,0.1443850267379679,0.24545454545454545,OCSVM,789,2.35,0
0.5592357685380941,0.17173524150268335,0.4733672880600578,0.10690423162583519,0.43636363636363634,IForest,789,0.14,0
0.4922284864145329,0.14745308310991956,0.007371093146502972,0.08647798742138364,0.5,AE,789,12.96,148416
0.44195442800093965,0.13414634146341464,0.04548329965333746,0.08058608058608059,0.4,VAE,789,12.81,156672
0.495712943387362,0.15155615696887687,0.007723555072314209,0.0890302066772655,0.509090909090909,DAGMM,789,14.95,149119
0.5399146503797666,0.1641337386018237,0.03164448205268744,0.1232876712328767,0.24545454545454545,TCR-AD,2024,47.45,412067
0.4832902670111972,0.14168937329700274,-5.241169667944211,0.10116731517509728,0.23636363636363636,OCSVM,2024,2.16,0
0.4984143763213531,0.14697406340057637,0.45426444880418543,0.08732876712328767,0.4636363636363636,IForest,2024,0.14,0
0.5335290893430429,0.16793893129770993,0.02288726882802111,0.1166077738515901,0.3,AE,2024,13.12,148416
0.5029520006264192,0.16098226466575716,0.040026363474552074,0.09470304975922954,0.5363636363636364,VAE,2024,12.91,156672
0.5325972907368256,0.16842105263157894,0.02429268430128241,0.11851851851851852,0.2909090909090909,DAGMM,2024,12.93,149119
