param,value,auc_roc,f1
embedding_dim,32,0.5211416490486258,0.15889464594127806
embedding_dim,64,0.5198574896249315,0.1574468085106383
embedding_dim,128,0.5203194738078459,0.15320910973084886
embedding_dim,256,0.5211573095294025,0.16192560175054704
contrastive_weight,0.0,0.5177354944796806,0.15355805243445692
contrastive_weight,0.25,0.5217289170777543,0.15551537070524413
contrastive_weight,0.75,0.5165766189022004,0.1510574018126888
contrastive_weight,1.0,0.5173909639025918,0.15426997245179064
