iter	RMSE
0	100.207396
1	99.34952055
2	98.59201953
3	97.84315384
4	97.12658504
5	96.50664126
6	95.90369247
7	95.34923021
8	94.83419049
9	94.34252195
10	93.89294627
11	93.51384284
12	93.13997975
13	92.74602119
14	92.36064265
15	92.03536548
16	91.72682219
17	91.43183114
18	91.13395255
19	90.81081905
20	90.56011795
21	90.32683931
22	90.05841994
23	89.82652845
24	89.64865931
25	89.4244663
26	89.21912977
27	89.00598156
28	88.82756694
29	88.64582568
30	88.49126932
31	88.33306351
32	88.15806552
33	87.96730109
34	87.79350909
35	87.64879446
36	87.51753412
37	87.38967185
38	87.26916035
39	87.15998753
40	86.98990628
41	86.85850793
42	86.72211479
43	86.60012332
44	86.50055771
45	86.40314618
46	86.29886297
47	86.2065576
48	86.10485173
49	86.02052256
50	85.92991693
51	85.7993876
52	85.71544516
53	85.6074242
54	85.52460082
55	85.43430724
56	85.37495794
57	85.24775587
58	85.11939445
59	84.96952956
60	84.83018888
61	84.74866036
62	84.67316761
63	84.55039241
64	84.41863877
65	84.29756131
66	84.13509784
67	84.06014898
68	83.93157279
69	83.80984592
70	83.72291631
71	83.63691772
72	83.56315101
73	83.4576175
74	83.39741719
75	83.29613075
76	83.25044317
77	83.18834456
78	83.1101932
79	83.04151943
80	82.92803994
81	82.86771452
82	82.79863261
83	82.74814216
84	82.68314438
85	82.56579971
86	82.52473617
87	82.46614265
88	82.37441081
89	82.27952236
90	82.21868641
91	82.16370288
92	82.10255121
93	82.02512769
94	81.90142443
95	81.8166688
96	81.7304286
97	81.680608
98	81.63795936
99	81.57969772
100	81.4905737
101	81.43120084
102	81.38029768
103	81.32497712
104	81.26977952
105	81.17925377
106	81.11201959
107	81.06800157
108	81.00143594
109	80.95348956
110	80.89931076
111	80.81648953
112	80.7790119
113	80.72417846
114	80.65710118
115	80.59380385
116	80.51601116
117	80.43703635
118	80.39711205
119	80.33460356
120	80.23450439
121	80.18725079
122	80.13720749
123	80.10385538
124	80.03948006
125	79.97639989
126	79.92751683
127	79.87629073
128	79.81499821
129	79.72477322
130	79.68954904
131	79.65277817
132	79.57781709
133	79.5039962
134	79.47183215
135	79.43637271
136	79.34566954
137	79.29954024
138	79.26804471
139	79.18861556
140	79.08482546
141	79.05371641
142	79.02452131
143	78.99484974
144	78.94253842
145	78.8987093
146	78.84831474
147	78.82258603
148	78.76131034
149	78.72747982
150	78.66290518
151	78.63902763
152	78.57469807
153	78.45172855
154	78.39795057
155	78.38528272
156	78.36153502
157	78.31454924
158	78.26853619
159	78.19587574
160	78.13039455
161	78.07710207
162	78.01473162
163	77.98985824
164	77.92929549
165	77.87362811
166	77.8325825
167	77.78181719
168	77.74422722
169	77.6745298
170	77.62519841
171	77.5857447
172	77.55062095
173	77.48014971
174	77.42427874
175	77.36008814
176	77.29507264
177	77.25484158
178	77.22747672
179	77.15874415
180	77.07389412
181	77.02222679
182	76.98752235
183	76.92642923
184	76.90350683
185	76.86456939
186	76.82207883
187	76.77909501
188	76.73488455
189	76.69567834
190	76.65750812
191	76.60578913
192	76.57564276
193	76.52872644
194	76.49059853
195	76.41838265
196	76.36892201
197	76.30659127
198	76.24368769
199	76.21202558
200	76.16457223
201	76.12081375
202	76.07892498
203	76.05299062
204	76.01607934
205	75.97198588
206	75.94189072
207	75.89480188
208	75.8526066
209	75.82168678
210	75.77995915
211	75.74046898
212	75.70718274
213	75.65796144
214	75.59332533
215	75.55480524
216	75.51616542
217	75.46617175
218	75.43067899
219	75.38815343
220	75.34445933
221	75.31882701
222	75.2796565
223	75.24599598
224	75.18131027
225	75.15296469
226	75.1178395
227	75.09141556
228	75.0527288
229	74.99549783
230	74.95530133
231	74.92297294
232	74.88708715
233	74.82067668
234	74.75508258
235	74.71319997
236	74.64625803
237	74.625324
238	74.61020815
239	74.56230231
240	74.50678825
241	74.47766702
242	74.40819197
243	74.38134512
244	74.33594848
245	74.31903168
246	74.29225669
247	74.27330177
248	74.24053531
249	74.14741252
250	74.11646209
251	74.04789776
252	73.99624701
253	73.96443446
254	73.88685862
255	73.84765168
256	73.8277432
257	73.77846075
258	73.74004586
259	73.70208707
260	73.61879282
261	73.59607537
262	73.55226432
263	73.52434567
264	73.46451118
265	73.41727593
266	73.325618
267	73.3197756
268	73.29867338
269	73.27316384
270	73.21487476
271	73.1878017
272	73.15948199
273	73.13056381
274	73.05663089
275	73.01613622
276	72.95878028
277	72.91301636
278	72.88426835
279	72.84360209
280	72.80529828
281	72.77497414
282	72.7356168
283	72.68952738
284	72.6328031
285	72.59225245
286	72.53326064
287	72.50652844
288	72.50089959
289	72.46183177
290	72.44052771
291	72.40310632
292	72.35900829
293	72.31880887
294	72.31341829
295	72.26226908
296	72.22761055
297	72.22242631
298	72.19069898
299	72.15952154
